test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.app.id,description
716857706,kmeans,1560256542514,127,0,378896779,2,21136127634,error,20040373149,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
716521965,kmeans,1560256564101,127,1,103004419,2,16493262713,error,15673736329,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
705293830,kmeans,1560256581048,127,2,97390787,2,16566792057,error,15764107440,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
693810762,kmeans,1560256598027,127,3,94561402,2,16251104536,error,15462732372,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
726033604,kmeans,1560256614662,127,4,88667617,2,16483897749,error,15669196528,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
705849596,kmeans,1560256631508,127,5,83910382,2,16379579386,error,15589819408,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
711090607,kmeans,1560256648253,127,6,80162771,2,16546249959,error,15754996581,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
687102278,kmeans,1560256665112,127,7,86835525,2,16212278377,error,15438340574,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
693899510,kmeans,1560256681643,127,8,76603154,2,16332870704,error,15562368040,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
702823425,kmeans,1560256698315,127,9,74736354,2,16268546388,error,15490986609,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,90a7b99937da,39804,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256515172,Classic benchmarking B
